Map,Algorithm,Heuristic,Visited Count,End State Steps,Execution Time
src/config/test1.txt,BFS,DISTANCE,190,28,0.0014841556549072266
src/config/test1.txt,DFS,DISTANCE,59,46,0.0004119873046875
src/config/test1.txt,A*,DISTANCE,184,28,0.002178192138671875
src/config/test3.txt,BFS,DISTANCE,290940,57,3.2628979682922363
src/config/test3.txt,DFS,DISTANCE,56312,3175,0.405106782913208
src/config/test3.txt,A*,DISTANCE,208314,57,2.872070074081421
src/config/test5.txt,BFS,DISTANCE,44110,34,0.5549941062927246
src/config/test5.txt,DFS,DISTANCE,161573,58,1.8766241073608398
src/config/test5.txt,A*,DISTANCE,10937,34,0.23642420768737793
src/config/test7.txt,BFS,DISTANCE,1447,16,0.015600919723510742
src/config/test7.txt,DFS,DISTANCE,74,49,0.0006799697875976562
src/config/test7.txt,A*,DISTANCE,516,16,0.00941014289855957
src/config/test9.txt,BFS,DISTANCE,45,12,0.00032401084899902344
src/config/test9.txt,DFS,DISTANCE,12,12,8.606910705566406e-05
src/config/test9.txt,A*,DISTANCE,42,12,0.00043702125549316406
src/config/test10.txt,BFS,DISTANCE,16198,32,0.16509008407592773
src/config/test10.txt,DFS,DISTANCE,4723,104,0.04189181327819824
src/config/test10.txt,A*,DISTANCE,8948,32,0.14777493476867676
src/config/test11.txt,BFS,DISTANCE,214360,21,3.0296661853790283
src/config/test11.txt,DFS,DISTANCE,4366,93,0.03826713562011719
src/config/test11.txt,A*,DISTANCE,43801,21,0.826758861541748
