epoca,error_training,error_test,entrada,salida,capas_ocultas,activacion,eta,beta
0,1.7976931348623157e+308,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
1,18.389175827913384,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
2,15.976394721604,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
3,14.350793152355228,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
4,12.887209516816027,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
5,12.334478289687642,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
6,11.885431290546412,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
7,11.500709734365879,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
8,10.846233509195036,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
9,9.44140674189729,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
10,6.972689505639241,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
11,5.107719959980494,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
12,4.779190761943487,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
13,4.679574458474246,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
14,4.644747879715462,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
15,4.617081355290685,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
16,4.610352630517969,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
17,4.608276261225748,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
18,4.590520128034088,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
19,4.545563614756762,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
20,4.544063009149855,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
21,4.53825396739958,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
22,4.523600367097225,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
23,4.523600367097225,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
24,4.520520608648365,0,data/TP3-ej3-digitos.txt,35,"[35, 5, 5, 5, 10]",LOGISTIC,0.1,1
