repetition,initial_radius,initial_eta,size,variable_radius,variable_eta,mult_iterations,similarity,data_initialization,heatmap_mean,u_matrix_mean
0,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9214074619307792
0,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.148195140194837
1,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0909886083034361
1,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.041626848115388
2,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9388811709709017
2,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2838292146638108
3,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9020103371599433
3,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.8729824746060943
4,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0331415931870784
4,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0192453405212574
5,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1632289254697752
5,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2525364810401869
6,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0014253079276767
6,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2431064764037616
7,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8556684394022981
7,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.8658899498884463
8,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9320639939881905
8,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2462806217312483
9,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8551444893150525
9,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0691784201361636
10,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.2606035781124156
10,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.9788927895346631
11,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0118482967751394
11,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.440733121773821
12,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.7098154085373101
12,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.8805899915766252
13,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8866496598232323
13,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0897189502455906
14,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.066318452772106
14,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.9930701431046036
15,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8518782744241409
15,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2149261047543645
16,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.7337859904129549
16,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.1267531484412874
17,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.065291175142812
17,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.1230318921244884
18,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9339897048323977
18,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0752958273909001
19,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0563696957936697
19,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.3194190608148237
20,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0211114698962303
20,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0369764644247883
21,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0885683256892864
21,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.47502211459029
22,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0690362638614115
22,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.9743083806884987
23,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8756814489390463
23,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0713260077419646
24,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1598136597776991
24,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.973131091223715
25,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9332522450511576
25,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0028359907573776
26,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9942353171779962
26,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.954213071352578
27,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.6799739460526184
27,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2714363052235456
28,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9959492751764143
28,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0679308379660724
29,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.7867498371671989
29,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0197724426579609
30,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8405976475050133
30,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0388760018018244
31,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.2274100600575113
31,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.9978156899012767
32,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9948973069876025
32,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2768000777027269
33,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.819731392678818
33,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2936980155668094
34,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.082471996411552
34,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2991612547974123
35,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.313135015194209
35,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0066828090713533
36,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0963967277904614
36,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0665639173534407
37,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.960048444628224
37,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.1537145732677918
38,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.0233980345119371
38,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2640648290929852
39,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.847069331657845
39,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.2261893356671527
40,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1507008150281672
40,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0056285602013086
41,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1336342442200895
41,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,0.8324123494042561
42,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.085746115185961
42,3,0.1,3,False,True,500,EUCLIDEAN,True,3.111111111111111,1.0639987980728671
