repetition,initial_radius,initial_eta,size,variable_radius,variable_eta,mult_iterations,similarity,data_initialization,heatmap_mean,u_matrix_mean
0,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.5572446656113648
0,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.167716711197094
0,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8912162380675421
0,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,1.1389543858045854
1,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.6547936997969384
1,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.2861574551586368
1,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8660814534613084
1,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,1.098389943678511
2,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.68892026130482
2,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.4225262807149548
2,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.059106269922117
2,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.8160808189300316
3,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.5655596849936848
3,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.533994051293317
3,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.8481480816641268
3,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.8017626446390858
4,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.4695689931720701
4,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.5161676018419672
4,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.9424098903946976
4,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.8211505136716108
5,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.5377276750315731
5,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.3202863954174058
5,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.1547747996046132
5,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.7076740069602824
6,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.4064740852350972
6,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.2366595875176714
6,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,1.140921148444469
6,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,0.6587101731873555
7,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.4135064122146488
7,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.1192759904012823
7,3,0.1,3,True,True,500,EUCLIDEAN,True,3.111111111111111,0.7338659811017778
7,3,0.1,2,True,True,500,EUCLIDEAN,True,7.0,1.2856021183549446
8,3,0.1,5,True,True,500,EUCLIDEAN,True,1.12,1.4783088414894217
8,3,0.1,4,True,True,500,EUCLIDEAN,True,1.75,1.094865950365091
