Epoch,Optimizer,Error
0,ADAM,8.447508780915374
1,ADAM,8.750934005776141
2,ADAM,8.65144418030777
3,ADAM,8.287508365907472
4,ADAM,8.100118226885924
5,ADAM,8.42838622515694
6,ADAM,8.20363375384495
7,ADAM,7.942572362127146
8,ADAM,8.43391665392642
9,ADAM,8.22579807311169
10,ADAM,8.176032918089138
11,ADAM,7.841597704581407
12,ADAM,7.827568005486695
13,ADAM,7.384186079830127
14,ADAM,7.667509940015226
15,ADAM,7.751606465686017
16,ADAM,6.9111699862462155
17,ADAM,7.335339826671036
18,ADAM,7.464171639264073
19,ADAM,7.148896193535528
20,ADAM,7.074891540928877
21,ADAM,7.1000402710908315
22,ADAM,6.717479175069601
23,ADAM,7.280556009143586
24,ADAM,7.02649220827195
25,ADAM,6.699450040962505
26,ADAM,7.202269715184859
27,ADAM,7.109367661240285
28,ADAM,6.654643796321306
29,ADAM,6.738773964604098
30,ADAM,6.803413155790121
31,ADAM,6.631021585699066
32,ADAM,6.697866328504083
33,ADAM,6.460757679703869
34,ADAM,6.348386836896018
35,ADAM,6.591500191503002
36,ADAM,6.4298188302464165
37,ADAM,6.342873613823283
38,ADAM,6.500454254673507
39,ADAM,6.4130828046236354
40,ADAM,6.232625792604156
41,ADAM,6.6398669849097685
42,ADAM,6.18251106291638
43,ADAM,6.8086609670806135
44,ADAM,6.602748924142787
45,ADAM,6.2086115079332185
46,ADAM,6.654652252979817
47,ADAM,6.415784151105529
48,ADAM,6.0525576744999166
49,ADAM,6.396912971874553
50,ADAM,6.503935972604153
51,ADAM,6.1375875760197305
52,ADAM,6.38585583040511
53,ADAM,6.4100031529130135
54,ADAM,6.112969503242651
55,ADAM,6.243701647615872
56,ADAM,6.065844618491163
57,ADAM,6.105584683838872
58,ADAM,5.978328559305212
59,ADAM,5.993596291106824
60,ADAM,6.231848294291365
61,ADAM,5.849422856522813
62,ADAM,5.829330157860688
63,ADAM,6.245175691005763
64,ADAM,5.812289801373167
65,ADAM,5.77715894366902
66,ADAM,5.861849770342233
67,ADAM,5.689098232739927
68,ADAM,5.755287041710478
69,ADAM,5.655182711315669
70,ADAM,5.543783557049742
71,ADAM,5.665957125197488
72,ADAM,5.92449367792353
73,ADAM,6.0059681508913405
74,ADAM,5.5629853443379496
75,ADAM,6.008854800507314
76,ADAM,5.590141233381995
77,ADAM,5.847785305223907
78,ADAM,5.832398819117281
79,ADAM,5.668297626327773
80,ADAM,5.603959347873705
81,ADAM,5.622548533373052
82,ADAM,5.652717754972679
83,ADAM,5.903948219051475
84,ADAM,5.748050658755099
85,ADAM,5.957208835866522
86,ADAM,5.586560685909196
87,ADAM,5.625082749322306
88,ADAM,5.555058306258563
89,ADAM,5.557809325706991
90,ADAM,5.604507075374811
91,ADAM,5.6207367706489935
92,ADAM,5.531484501230973
93,ADAM,5.492741687233323
94,ADAM,5.532334387658264
95,ADAM,5.500117071418461
96,ADAM,5.552212611702085
97,ADAM,5.588644524311945
98,ADAM,5.487147147609488
99,ADAM,5.53464215839243
100,ADAM,5.459728932622099
101,ADAM,5.651140511663501
102,ADAM,5.455485643411575
103,ADAM,5.686443762680324
104,ADAM,5.57444767093542
105,ADAM,5.704146461926511
106,ADAM,5.496398185999633
107,ADAM,5.460606538456723
108,ADAM,5.650428132441092
109,ADAM,5.452903008583895
110,ADAM,5.479406314525436
111,ADAM,5.515299027465006
112,ADAM,5.5382675241325074
113,ADAM,5.498724560998362
114,ADAM,5.394100371674497
115,ADAM,5.449580668954275
116,ADAM,5.650864690470599
117,ADAM,5.6431091366854105
118,ADAM,5.552193363214377
119,ADAM,5.547987123974059
120,ADAM,5.430339015786493
121,ADAM,5.62124241657829
122,ADAM,5.561986119119028
123,ADAM,5.39936017411539
124,ADAM,5.517533998201476
125,ADAM,5.404643627946176
126,ADAM,5.402880460574879
127,ADAM,5.695313065765367
128,ADAM,5.384182167921699
129,ADAM,5.509478630211951
130,ADAM,5.398003599498146
131,ADAM,5.487509834674378
132,ADAM,5.530764283736152
133,ADAM,5.386357416829093
134,ADAM,5.3845212044772
135,ADAM,5.390702543874988
136,ADAM,5.602165967943096
137,ADAM,5.646064141880374
138,ADAM,5.404902612212751
139,ADAM,5.363609363552115
140,ADAM,5.4384302795556945
141,ADAM,5.388594817671729
142,ADAM,5.347384581872969
143,ADAM,5.473290966260332
144,ADAM,5.327605038196943
145,ADAM,5.34771794815039
146,ADAM,5.309479067871629
147,ADAM,5.299804458991667
148,ADAM,5.348770510483461
149,ADAM,5.313546083227032
150,ADAM,5.363779855377457
151,ADAM,5.409729709341862
152,ADAM,5.418381804329169
153,ADAM,5.509176348086034
154,ADAM,6.3417205977468205
155,ADAM,5.396075036534884
156,ADAM,5.58834199260959
157,ADAM,5.394554853717294
158,ADAM,5.504210579252798
159,ADAM,5.2920355612318355
160,ADAM,5.318512968244641
161,ADAM,5.261673993128631
162,ADAM,5.2171754147401925
163,ADAM,5.199289719043694
164,ADAM,5.2924618258467975
165,ADAM,5.527914779827214
166,ADAM,5.376840447553469
167,ADAM,5.358263595485779
168,ADAM,5.2446149796769355
169,ADAM,5.2974196130415905
170,ADAM,5.631164604104957
171,ADAM,5.228920123230237
172,ADAM,5.257738006212629
173,ADAM,5.383270359818657
174,ADAM,5.382324055751745
175,ADAM,5.28551278253284
176,ADAM,5.259295143739744
177,ADAM,5.517940241861897
178,ADAM,5.291352628219125
179,ADAM,5.1806683481066385
180,ADAM,5.282405255444827
181,ADAM,5.242631450684545
182,ADAM,5.231487944581201
183,ADAM,5.205691780386565
184,ADAM,5.101397968314378
185,ADAM,5.21669092401993
186,ADAM,5.2761004138414505
187,ADAM,5.217124274038473
188,ADAM,5.289059500578265
189,ADAM,5.306415872707863
190,ADAM,5.301737869728947
191,ADAM,5.357697592275402
192,ADAM,5.261403472060554
193,ADAM,5.255287642826256
194,ADAM,5.303016745211466
195,ADAM,5.081752904366834
196,ADAM,5.1919848509114725
197,ADAM,5.364691666640369
198,ADAM,5.181034669594308
199,ADAM,5.233959618515609
200,ADAM,5.117488626265914
201,ADAM,5.380172813651968
202,ADAM,5.552794454491901
203,ADAM,5.864082635223616
204,ADAM,5.1286324666354925
205,ADAM,5.293090165346443
206,ADAM,5.134473647784273
207,ADAM,5.640006185585183
208,ADAM,4.988384179643273
209,ADAM,5.124852596636639
210,ADAM,5.10216536842301
211,ADAM,5.1443073167639115
212,ADAM,4.998730790396103
213,ADAM,4.985007172984991
214,ADAM,4.961139902433495
215,ADAM,4.893379882130743
216,ADAM,5.03673477301146
217,ADAM,4.907128195487299
218,ADAM,4.991424948234739
219,ADAM,4.914301621845913
220,ADAM,5.037769631597064
221,ADAM,4.999870386470736
222,ADAM,5.311330741277529
223,ADAM,5.169599889067356
224,ADAM,5.027906160124001
225,ADAM,5.0101344942004005
226,ADAM,5.20384321819932
227,ADAM,5.066423125476681
228,ADAM,5.081316945647971
229,ADAM,4.88263887230495
230,ADAM,4.950153266553759
231,ADAM,5.279638111120952
232,ADAM,4.873948133542414
233,ADAM,5.257251273668595
234,ADAM,5.044856692890234
235,ADAM,4.919234272629537
236,ADAM,5.019793911483223
237,ADAM,5.099962825601252
238,ADAM,5.1527067000462905
239,ADAM,4.985253067379402
240,ADAM,4.876951952596093
241,ADAM,5.076081889289381
242,ADAM,4.803264884625197
243,ADAM,4.875124447741166
244,ADAM,4.837251437853019
245,ADAM,5.206628389450921
246,ADAM,4.876918672074614
247,ADAM,4.969290469381578
248,ADAM,4.870719177207997
249,ADAM,4.81049757054528
250,ADAM,5.406472650953272
251,ADAM,5.183214108188623
252,ADAM,4.984544978589165
253,ADAM,4.880615854697222
254,ADAM,4.864583843596338
255,ADAM,4.829727912170622
256,ADAM,4.786140815191774
257,ADAM,4.857220897584181
258,ADAM,5.048544563027122
259,ADAM,4.897969182669116
260,ADAM,4.7614180130126105
261,ADAM,4.978839841057242
262,ADAM,4.9993952940111175
263,ADAM,4.815343289528785
264,ADAM,4.9368778362654515
265,ADAM,5.44464121054303
266,ADAM,5.232865636436203
267,ADAM,4.952461129182209
268,ADAM,5.145185271886738
269,ADAM,5.689818662736443
270,ADAM,5.040124407920655
271,ADAM,5.226111374463198
272,ADAM,5.495507399136881
273,ADAM,4.794330054642943
274,ADAM,4.924807366189002
275,ADAM,4.870507937846373
276,ADAM,4.7761718777943845
277,ADAM,4.922219710545615
278,ADAM,4.680492001001225
279,ADAM,4.761840025450545
280,ADAM,4.64115916188957
281,ADAM,4.821763807761447
282,ADAM,4.777218151940831
283,ADAM,4.977825401241584
284,ADAM,4.9401445980927585
285,ADAM,4.844588667312233
286,ADAM,4.964219961028654
287,ADAM,4.789760121363763
288,ADAM,4.997787838735843
289,ADAM,5.113057113705081
290,ADAM,5.105192430061949
291,ADAM,4.924522959221211
292,ADAM,5.060595758334076
293,ADAM,4.807469539960161
294,ADAM,4.756690769154875
295,ADAM,5.89255573489425
296,ADAM,4.961543597936115
297,ADAM,4.943512886319453
298,ADAM,4.865945963490047
299,ADAM,4.989144991146603
300,ADAM,4.70051186033353
301,ADAM,4.777903219381578
302,ADAM,4.689529586232518
303,ADAM,4.729955749831314
304,ADAM,4.702238052533718
