Epoch,Error,Optimizer,Architecture
0,29.671807626241883,ADAM,"[35, 30, 20, 10, 5, 2]"
1,22.3307657039143,ADAM,"[35, 30, 20, 10, 5, 2]"
2,14.823989838216987,ADAM,"[35, 30, 20, 10, 5, 2]"
3,12.168426889515956,ADAM,"[35, 30, 20, 10, 5, 2]"
4,12.994304697707701,ADAM,"[35, 30, 20, 10, 5, 2]"
5,9.028202456294416,ADAM,"[35, 30, 20, 10, 5, 2]"
6,8.428658727692314,ADAM,"[35, 30, 20, 10, 5, 2]"
7,9.479309248370573,ADAM,"[35, 30, 20, 10, 5, 2]"
8,8.76631186352505,ADAM,"[35, 30, 20, 10, 5, 2]"
9,7.207651120639394,ADAM,"[35, 30, 20, 10, 5, 2]"
10,9.982714252215432,ADAM,"[35, 30, 20, 10, 5, 2]"
11,8.457997294995964,ADAM,"[35, 30, 20, 10, 5, 2]"
12,7.022521745626543,ADAM,"[35, 30, 20, 10, 5, 2]"
13,9.877079465257594,ADAM,"[35, 30, 20, 10, 5, 2]"
14,7.9071098519980545,ADAM,"[35, 30, 20, 10, 5, 2]"
15,5.758337516349939,ADAM,"[35, 30, 20, 10, 5, 2]"
16,8.836949542646867,ADAM,"[35, 30, 20, 10, 5, 2]"
17,7.383692515666574,ADAM,"[35, 30, 20, 10, 5, 2]"
18,6.764321622866397,ADAM,"[35, 30, 20, 10, 5, 2]"
19,7.5043208918727355,ADAM,"[35, 30, 20, 10, 5, 2]"
20,8.84830747439658,ADAM,"[35, 30, 20, 10, 5, 2]"
21,7.8908482814413965,ADAM,"[35, 30, 20, 10, 5, 2]"
22,6.733168613262709,ADAM,"[35, 30, 20, 10, 5, 2]"
23,8.359739652632532,ADAM,"[35, 30, 20, 10, 5, 2]"
24,7.830951871092469,ADAM,"[35, 30, 20, 10, 5, 2]"
25,7.205987277739382,ADAM,"[35, 30, 20, 10, 5, 2]"
26,6.908846347747425,ADAM,"[35, 30, 20, 10, 5, 2]"
27,8.895604973054777,ADAM,"[35, 30, 20, 10, 5, 2]"
28,7.89572723335028,ADAM,"[35, 30, 20, 10, 5, 2]"
29,6.838566832665428,ADAM,"[35, 30, 20, 10, 5, 2]"
30,6.676738070255931,ADAM,"[35, 30, 20, 10, 5, 2]"
31,7.409066487927955,ADAM,"[35, 30, 20, 10, 5, 2]"
32,7.419569152511707,ADAM,"[35, 30, 20, 10, 5, 2]"
33,6.430903423086922,ADAM,"[35, 30, 20, 10, 5, 2]"
34,7.035585205349848,ADAM,"[35, 30, 20, 10, 5, 2]"
35,8.000637506901956,ADAM,"[35, 30, 20, 10, 5, 2]"
36,6.9324436844635136,ADAM,"[35, 30, 20, 10, 5, 2]"
37,7.443641790992619,ADAM,"[35, 30, 20, 10, 5, 2]"
38,7.997920524676151,ADAM,"[35, 30, 20, 10, 5, 2]"
39,7.2075190868760295,ADAM,"[35, 30, 20, 10, 5, 2]"
40,7.408747557420814,ADAM,"[35, 30, 20, 10, 5, 2]"
41,7.322402436505094,ADAM,"[35, 30, 20, 10, 5, 2]"
42,7.0135698357935095,ADAM,"[35, 30, 20, 10, 5, 2]"
43,6.598522364777918,ADAM,"[35, 30, 20, 10, 5, 2]"
44,6.930896517634947,ADAM,"[35, 30, 20, 10, 5, 2]"
45,7.756693874483705,ADAM,"[35, 30, 20, 10, 5, 2]"
46,7.103707735459044,ADAM,"[35, 30, 20, 10, 5, 2]"
